id,source,relative_path,mtime,selected
n2_04491,tup_n2_files,tup_n2\files\n2_04491_日当たり_向阳地；阳光充足处.png,1782962467.5490043,yes
n2_04517,tup_n2_files,tup_n2\files\n2_04517_書籍_书.png,1782962700.7492757,yes
n2_04541,tup_n2_files,tup_n2\files\n2_04541_果実_水果.png,1783040442.5822167,yes
n2_04597,tup_n2_files,tup_n2\files\n2_04597_水滴_水滴.png,1783038497.3539338,yes
n2_04627,tup_n2_files,tup_n2\files\n2_04627_海洋_海洋；大海.png,1783040492.6030273,yes
n2_04633,tup_n2_files,tup_n2\files\n2_04633_消防署_消防站.png,1783039076.989212,yes
n2_04732,tup_n2_files,tup_n2\files\n2_04732_物置_储物间.png,1782963365.102512,yes
n2_04755,tup_n2_files,tup_n2\files\n2_04755_生け花_花艺.png,1782962519.3592765,yes
n2_04766,tup_n2_files,tup_n2\files\n2_04766_田植え_插秧.png,1783040658.5923307,yes
n2_04865,tup_n2_files,tup_n2\files\n2_04865_窓口_窗口.png,1782962734.5064762,yes
n2_04868,tup_n2_files,tup_n2\files\n2_04868_競馬_赛马.png,1783035792.7687633,yes
n2_04887,tup_n2_files,tup_n2\files\n2_04887_紙幣_纸币.png,1783039803.1443632,yes
n2_04950,tup_n2_files,tup_n2\files\n2_04950_腰掛ける_坐下.png,1782965629.3419104,yes
n2_04972,tup_n2_files,tup_n2\files\n2_04972_茶碗_饭碗.png,1783037550.754058,yes
n2_04991,tup_n2_files,tup_n2\files\n2_04991_薬品_药品.png,1783037419.105851,yes
n2_05090,tup_n2_files,tup_n2\files\n2_05090_跳ぶ_跳跃.png,1783036401.794434,yes
n2_05143,tup_n2_files,tup_n2\files\n2_05143_遊園地_游乐园.png,1782963457.405138,yes
n2_05228,tup_n2_files,tup_n2\files\n2_05228_電柱_电线杆.png,1782962790.7440927,yes
n2_05256,tup_n2_files,tup_n2\files\n2_05256_食塩_食盐.png,1783039773.6771655,yes
n1_00023,tup_n1_files,tup_n1\files\n1_00023_お八_点心.png,1783049776.040762,yes
n1_00115,tup_n1_files,tup_n1\files\n1_00115_ぶら下げる_悬挂.png,1783049907.8853126,yes
n1_00195,tup_n1_files,tup_n1\files\n1_00195_ジャンパー_夹克.png,1783069788.5791295,yes
n1_00209,tup_n1_files,tup_n1\files\n1_00209_スポーツカー_跑车.png,1783050975.1428063,yes
n1_00217,tup_n1_files,tup_n1\files\n1_00217_ソックス_袜子.png,1783069732.893743,yes
n1_00267,tup_n1_files,tup_n1\files\n1_00267_パトカー_警车.png,1783045230.19513,yes
n1_00311,tup_n1_files,tup_n1\files\n1_00311_ユニフォーム_制服.png,1783069678.5785716,yes
n1_00313,tup_n1_files,tup_n1\files\n1_00313_ライス_米饭.png,1783069596.8783298,yes
n1_00324,tup_n1_files,tup_n1\files\n1_00324_レンタカー_租车.png,1783045246.8312087,yes
n1_00374,tup_n1_files,tup_n1\files\n1_00374_三日月_新月.png,1783044308.2370098,yes
n1_00384,tup_n1_files,tup_n1\files\n1_00384_上空_高空.png,1783069379.6989377,yes
n1_00497,tup_n1_files,tup_n1\files\n1_00497_人体_人体.png,1783043890.7546484,yes
n1_00616,tup_n1_files,tup_n1\files\n1_00616_使用人_仆人.png,1783050234.4020522,yes
n1_00635,tup_n1_files,tup_n1\files\n1_00635_保母_保姆.png,1783050415.3323061,yes
n1_01089,tup_n1_files,tup_n1\files\n1_01089_吹奏_吹奏.png,1783069259.276335,yes
n1_01129,tup_n1_files,tup_n1\files\n1_01129_喫茶_茶馆.png,1783069523.723202,yes
n1_01362,tup_n1_files,tup_n1\files\n1_01362_富豪_富豪.png,1783044795.467204,yes
n1_01420,tup_n1_files,tup_n1\files\n1_01420_山脈_山脉.png,1783044358.2621214,yes
n1_01463,tup_n1_files,tup_n1\files\n1_01463_年輪_年轮.png,1783050645.5902267,yes
n1_01506,tup_n1_files,tup_n1\files\n1_01506_弟_弟弟.png,1783044812.081288,yes
n1_01950,tup_n1_files,tup_n1\files\n1_01950_晴天_晴天.png,1783069222.0641322,yes
n1_02016,tup_n1_files,tup_n1\files\n1_02016_杯_酒杯.png,1783051702.26449,yes
n1_02312,tup_n1_files,tup_n1\files\n1_02312_焚火_篝火.png,1783050572.485587,yes
n1_02349,tup_n1_files,tup_n1\files\n1_02349_熱湯_沸水.png,1783069458.767648,yes
n1_02816,tup_n1_files,tup_n1\files\n1_02816_船舶_船舶.png,1783045280.1299996,yes
n1_02827,tup_n1_files,tup_n1\files\n1_02827_花壇_花坛.png,1783069186.2002513,yes
n1_02829,tup_n1_files,tup_n1\files\n1_02829_苗_秧苗.png,1783051734.486222,yes
n1_03135,tup_n1_files,tup_n1\files\n1_03135_軍服_军服.png,1783069656.4876788,yes
n1_03362,tup_n1_files,tup_n1\files\n1_03362_雛_雏鸟;玩偶.png,1783069948.2694604,yes
n1_03365,tup_n1_files,tup_n1\files\n1_03365_雨具_雨衣.png,1783050543.2058086,yes
n1_03366,tup_n1_files,tup_n1\files\n1_03366_雨天_下雨天.png,1783050435.7903857,yes
