id,jlpt_level,word,reading,meaning,round2_review,source_file
n5_07997,N5,危ない,あぶない,dangerous,NO,D:\codex-2\tup\NO\NO\n5_07997_危ない_00003_.png
n5_07999,N5,厚い,あつい,"kind, deep, thick",NO,D:\codex-2\tup\NO\NO\n5_07999_厚い_00003_.png
n5_08001,N5,友達,ともだち,friend,NO,D:\codex-2\tup\NO\NO\n5_08001_友達_00003_.png
n5_08002,N5,取る,とる,to take something,NO,D:\codex-2\tup\NO\NO\n5_08002_取る_00003_.png
n5_08004,N5,古い,ふるい,old (not used for people),NO,D:\codex-2\tup\NO\NO\n5_08004_古い_00003_.png
n5_08005,N5,台所,だいどころ,kitchen,NO,D:\codex-2\tup\NO\NO\n5_08005_台所_00003_.png
n5_08010,N5,吸う,すう,"to smoke,to suck",NO,D:\codex-2\tup\NO\NO\n5_08010_吸う_00003_.png
n5_08011,N5,吹く,ふく,to blow,NO,D:\codex-2\tup\NO\NO\n5_08011_吹く_00003_.png
n5_08012,N5,呼ぶ,よぶ,"to call out,to invite",NO,D:\codex-2\tup\NO\NO\n5_08012_呼ぶ_00003_.png
n5_08013,N5,咲く,さく,to bloom,NO,D:\codex-2\tup\NO\NO\n5_08013_咲く_00003_.png
n5_08019,N5,困る,こまる,to be worried,NO,D:\codex-2\tup\NO\NO\n5_08019_困る_00003_.png
n5_08027,N5,売る,うる,to sell,NO,D:\codex-2\tup\NO\NO\n5_08027_売る_00003_.png
n5_08035,N5,多い,おおい,many,NO,D:\codex-2\tup\NO\NO\n5_08035_多い_00003_.png
n5_08037,N5,大きい,おおきい,big,NO,D:\codex-2\tup\NO\NO\n5_08037_大きい_00003_.png
n5_08038,N5,大きな,おおきな,big,NO,D:\codex-2\tup\NO\NO\n5_08038_大きな_00003_.png
n5_08039,N5,大丈夫,だいじょうぶ,all right,NO,D:\codex-2\tup\NO\NO\n5_08039_大丈夫_00003_.png
n5_08042,N5,大切,たいせつ,important,NO,D:\codex-2\tup\NO\NO\n5_08042_大切_00003_.png
n5_08044,N5,大好き,だいすき,to be very likeable,NO,D:\codex-2\tup\NO\NO\n5_08044_大好き_00003_.png
n5_08046,N5,天気,てんき,weather,NO,D:\codex-2\tup\NO\NO\n5_08046_天気_00003_.png
n5_08048,N5,奥さん,おくさん,(honorable) wife,NO,D:\codex-2\tup\NO\NO\n5_08048_奥さん_00003_.png
n5_08051,N5,好き,すき,likeable,NO,D:\codex-2\tup\NO\NO\n5_08051_好き_00003_.png
n5_08054,N5,始まる,はじまる,to begin,NO,D:\codex-2\tup\NO\NO\n5_08054_始まる_00003_.png
n5_08055,N5,嫌,いや,unpleasant,NO,D:\codex-2\tup\NO\NO\n5_08055_嫌_00003_.png
n5_08056,N5,嫌い,きらい,hate,NO,D:\codex-2\tup\NO\NO\n5_08056_嫌い_00003_.png
n5_08059,N5,学校,がっこう,school,NO,D:\codex-2\tup\NO\NO\n5_08059_学校_00003_.png
n5_08060,N5,学生,がくせい,student,NO,D:\codex-2\tup\NO\NO\n5_08060_学生_00003_.png
n5_08061,N5,安い,やすい,cheap,NO,D:\codex-2\tup\NO\NO\n5_08061_安い_00003_.png
n5_08064,N5,家族,かぞく,family,NO,D:\codex-2\tup\NO\NO\n5_08064_家族_00003_.png
n5_08066,N5,寒い,さむい,cold,NO,D:\codex-2\tup\NO\NO\n5_08066_寒い_00003_.png
n5_08067,N5,寝る,ねる,"to go to bed,to sleep",NO,D:\codex-2\tup\NO\NO\n5_08067_寝る_00003_.png
n5_08069,N5,小さい,ちいさい,little,NO,D:\codex-2\tup\NO\NO\n5_08069_小さい_00003_.png
n5_08070,N5,小さな,ちいさな,little,NO,D:\codex-2\tup\NO\NO\n5_08070_小さな_00003_.png
n5_08072,N5,少ない,すくない,a few,NO,D:\codex-2\tup\NO\NO\n5_08072_少ない_00003_.png
n5_08075,N5,川/河,かわ,river,NO,D:\codex-2\tup\NO\NO\n5_08075_川_河_00003_.png
n5_08077,N5,差す,さす,"to stretch out hands,to raise an umbrella",NO,D:\codex-2\tup\NO\NO\n5_08077_差す_00003_.png
n5_08078,N5,帰る,かえる,to go back,NO,D:\codex-2\tup\NO\NO\n5_08078_帰る_00003_.png
n5_08079,N5,帽子,ぼうし,hat,NO,D:\codex-2\tup\NO\NO\n5_08079_帽子_00003_.png
n5_08081,N5,広い,ひろい,"spacious,wide",NO,D:\codex-2\tup\NO\NO\n5_08081_広い_00003_.png
n5_08082,N5,店,みせ,shop,NO,D:\codex-2\tup\NO\NO\n5_08082_店_00003_.png
n5_08083,N5,座る,すわる,to sit,NO,D:\codex-2\tup\NO\NO\n5_08083_座る_00003_.png
n5_08086,N5,建物,たてもの,building,NO,D:\codex-2\tup\NO\NO\n5_08086_建物_00003_.png
n5_08087,N5,引く,ひく,to pull,NO,D:\codex-2\tup\NO\NO\n5_08087_引く_00003_.png
n5_08089,N5,弱い,よわい,weak,NO,D:\codex-2\tup\NO\NO\n5_08089_弱い_00003_.png
n5_08090,N5,強い,つよい,powerful,NO,D:\codex-2\tup\NO\NO\n5_08090_強い_00003_.png
n5_08091,N5,弾く,ひく,"to play an instrument with strings, including piano",NO,D:\codex-2\tup\NO\NO\n5_08091_弾く_00003_.png
n5_08092,N5,待つ,まつ,to wait,NO,D:\codex-2\tup\NO\NO\n5_08092_待つ_00003_.png
n5_08096,N5,忘れる,わすれる,to forget,NO,D:\codex-2\tup\NO\NO\n5_08096_忘れる_00003_.png
