id,jlpt_level,word,reading,meaning,image_status,image_type,visual_domain,image_review
n5_08072,N5,少ない,すくない,a few,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08081,N5,広い,ひろい,"spacious,wide",scene_image,visual_state_scene,action_state,NO PICTURE
n5_08089,N5,弱い,よわい,weak,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08090,N5,強い,つよい,powerful,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08097,N5,忙しい,いそがしい,"busy,irritated",scene_image,visual_state_scene,action_state,NO PICTURE
n5_08098,N5,悪い,わるい,bad,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08114,N5,新しい,あたらしい,new,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08119,N5,早い,はやい,early,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08120,N5,明い,あかるい,bright,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08122,N5,易しい,やさしい,"easy, simple",scene_image,visual_state_scene,action_state,NO PICTURE
n5_08138,N5,暑い,あつい,hot,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08139,N5,暖かい,あたたかい,warm,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08140,N5,暗い,くらい,gloomy,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08146,N5,有名,ゆうめい,famous,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08162,N5,楽しい,たのしい,enjoyable,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08181,N5,汚い,きたない,dirty,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08190,N5,涼しい,すずしい,refreshing,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08193,N5,温い,ぬるい,luke warm,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08198,N5,煩い,うるさい,"noisy,annoying",scene_image,visual_state_scene,action_state,NO PICTURE
n5_08199,N5,熱い,あつい,hot to the touch,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08204,N5,狭い,せまい,narrow,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08207,N5,甘い,あまい,sweet,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08218,N5,痛い,いたい,painful,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08221,N5,白い,しろい,white,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08229,N5,短い,みじかい,short,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08241,N5,細い,ほそい,thin,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08244,N5,結構,けっこう,"splendid,enough",scene_image,visual_state_scene,action_state,NO PICTURE
n5_08263,N5,若い,わかい,young,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08268,N5,薄い,うすい,"thin,weak",scene_image,visual_state_scene,action_state,NO PICTURE
n5_08291,N5,賑やか,にぎやか,"bustling,busy",scene_image,visual_state_scene,action_state,NO PICTURE
n5_08294,N5,赤い,あかい,red,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08299,N5,軽い,かるい,light,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08300,N5,辛い,からい,spicy,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08303,N5,近い,ちかい,near,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08306,N5,速い,はやい,quick,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08307,N5,遅い,おそい,"late,slow",scene_image,visual_state_scene,action_state,NO PICTURE
n5_08311,N5,遠い,とおい,far,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08319,N5,長い,ながい,long,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08330,N5,難しい,むずかしい,difficult,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08338,N5,青い,あおい,blue,scene_image,visual_state_scene,action_state,NO PICTURE
n5_08339,N5,静か,しずか,quiet,scene_image,visual_state_scene,action_state,NO PICTURE
