id,word,reading,meaning,image_review
n4_07490,泊まる,とまる,to lodge at,NO PICTURE
n4_07492,泣く,なく,to weep,NO PICTURE
n4_07501,済む,すむ,to finish,NO PICTURE
n4_07505,準備,じゅんび・する,to prepare,NO PICTURE
n4_07506,滑る,すべる,"to slide,to slip",NO PICTURE
n4_07508,漬ける,つける,"to soak,to pickle",NO PICTURE
n4_07513,無くなる,なくなる,"to disappear,to get lost",NO PICTURE
n4_07515,焼く,やく,"to bake,to grill",NO PICTURE
n4_07516,焼ける,やける,"to burn,to be roasted",OK
n4_07518,片付ける,かたづける,to tidy up,NO PICTURE
n4_07524,生きる,いきる,to live,NO PICTURE
n4_07525,生活,せいかつ・する,to live,NO PICTURE
n4_07526,生産,せいさん・する,to produce,NO PICTURE
n4_07533,申す,もうす,"(humble) to be called,to say",NO PICTURE
n4_07538,痩せる,やせる,to become thin,NO PICTURE
n4_07541,盗む,ぬすむ,to steal,NO PICTURE
n4_07543,直す,なおす,"to fix,to repair",NO PICTURE
n4_07544,直る,なおる,"to be fixed,to be repaired",NO PICTURE
n4_07545,相談,そうだん・する,to discuss,NO PICTURE
n4_07549,眠る,ねむる,to sleep,OK
n4_07551,知らせる,しらせる,to notify,NO PICTURE
n4_07559,祈る,いのる,to pray,NO PICTURE
n4_07564,移る,うつる,to move house or transfer,NO PICTURE
n4_07565,空く,あく,"to open, to become empty",NO PICTURE
n4_07568,立てる,たてる,to stand something up,NO PICTURE
n4_07570,笑う,わらう,"to laugh,to smile",NO PICTURE
n4_07580,経験,けいけん・する,to experience,NO PICTURE
n4_07582,続く,つづく,to be continued,NO PICTURE
n4_07589,考える,かんがえる,to consider,NO PICTURE
n4_07590,聞こえる,きこえる,to be heard,NO PICTURE
n4_07591,育てる,そだてる,"to rear,to bring up",NO PICTURE
n4_07595,致す,いたす,(humble) to do,NO PICTURE
n4_07601,落す,おとす,to drop,NO PICTURE
n4_07602,落る,おちる,to fall or drop,NO PICTURE
n4_07606,行う,おこなう,to do,NO PICTURE
n4_07611,見える,みえる,to be in sight,NO PICTURE
n4_07612,見つかる,みつかる,to be discovered,NO PICTURE
